obs,中文名,英文名,评分,评价数,近期售出数,价格,种类,葡萄品种,年份,COO原产地,级别,酒精度,容量,香味分类,色泽,酒体,口感分类,建议醒酒时间,搭配菜肴,品鉴,商品ID
851,"
								*波尔多男爵小木桐（菲利普罗思柴尔德男爵精选波尔多干红葡萄酒）*",Baron Philippe de Rothschild Selection Bordeaux,"
												90%
										",452,近期售出数 88573,998,"
											红葡萄酒 干红","
											73%美乐(Merlot),20%赤霞珠(Cabernet Sauvignon),7%品丽珠(Cabernet Franc)","
											2013","
											法国(France) 波尔多(Bordeaux)","
											AOC","
											12.5%","
											750ml","
											香气馥郁，有着覆盆子和成熟草莓等红色水果的芬芳。","
											深红色","
											中","
											清雅","
											30分钟","
											猪肉柳、梅酱烤猪肉和牛肉炖锅","
											在酒罐中熟成9个月，40%用橡木辅料。",5200128
852,"
								恋爱季红白甜蜜之吻(恋爱季甜桃红高泡&甜白高泡)",  ,"
												90%
										",75,近期售出数 1529,69,"
																起泡酒 甜起泡酒","
																兰博鲁斯科(Lamb Rusch)","
																0000","
																意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","
																IGT","
																6%vol","
																750ml","
																草莓 石榴 红樱桃气息与热带奔放的荔枝蜜瓜萦绕","
																桃红","
																轻","
																清雅","
																即开即饮",  ,  ,5199889
853,"
								奔富BIN8赤霞珠西拉子红葡萄酒（奔富酒园Bin8）",Penfolds Bin 8 Cabernet Shiraz,"
												90%
										",12,近期售出数 4280,199,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon),西拉/设拉子(Syrah/Shiraz)",  ,"
											澳大利亚(Australia) 南澳(South Australia)",  ,  ,"
											750ml","
											黑梅、樱桃","
											深紫色","
											中高","
											饱满","
											30分钟","
											奶酪、肉类、牛扒","
											无",6214474
854,"
								恋恋丹菲特半甜葡萄酒",Passion Hill Dornfelder,"
												100%
										",53,近期售出数 3584,228,"
											红葡萄酒 半干红","
											100%丹菲特(Dornfelder)","
											1200","
											德国(Germany) 莱茵黑森(Rheinhessen)","
											德国优质甜红","
											11.0%","
											750ml","
											红色水果","
											深红色","
											中","
											清爽","
											即开即饮","
											红肉、山羊乳酪","
											无",6206610
855,"
								帝龙干红葡萄酒 （Double Gold） - 6 支装",Bodegas Bocopa Don Mantillon ,"
												90%
										",303,近期售出数 4775,1008,"
																红葡萄酒 干红","
																莫纳特雷","
																0000","
																西班牙(Spain) 其他","
																D.O","
																13 %","
																750 ml ","
																红色果实香味","
																宝石红","
																中","
																圆润",  ,"
																红肉，烤肉。",  ,6207496
856,"
								艾美城堡干红葡萄酒",Domaine Aumedes Corbieres Rouge ,"
												80%
										",26,近期售出数 17247,158,"
											红葡萄酒 干红","
											歌海娜35%，佳丽酿45%、西拉20%","
											2009","
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											科比埃AOC Corbières","
											13%","
											750ml","
											黑醋栗、蓝莓","
											宝石红色","
											中高","
											圆润","
											60分钟","
											可搭配熟食、烤肉、奶酪等",  ,5174765
857,"
								罗恩城堡超级波尔多干红葡萄酒",Chateau Lorient,"
												100%
										",81,近期售出数 7255,78,"
											红葡萄酒 干红","
											梅洛(Merlot)、赤霞珠(Cabernet Sauvignon)","
											2011","
											法国(France) 波尔多(Bordeaux)","
											超级波尔多","
											13.5%","
											750ml","
											黑色水果","
											宝石红","
											中高","
											清雅","
											20分钟","
											意大利菜、烤肉、奶酪",  ,5198209
858,"
								蒙佩奇弗朗系列珍藏波尔多干红葡萄酒",Chateau Franc Perat Reserve Rouge,"
												90%
										",58,近期售出数 11164,109,"
											红葡萄酒 干红","
											85%梅洛(Merlot)、15%赤霞珠(Cabernet Sauvignon)","
											2011","
											法国(France) 波尔多(Bordeaux)","
											波尔多AOC","
											13%","
											750ml","
											水果、木质、土司、香料","
											宝石红色","
											中","
											圆润","
											30分钟","
											红肉类、熟食、家禽、奶酪","
											6个月",6203216
859,"
								黄尾袋鼠幕斯卡桃红葡萄酒",Yellow Tail Pink Moscato,"
												90%
										",51,近期售出数 2698,49,"
											桃红葡萄酒 甜型桃红","
											100%麝香(Muscat/Moscato)",  ,"
											澳大利亚(Australia) 东南澳(South Eastern Australia)",  ,"
											7.5%","
											750ml","
											具有草莓、麝香及新鲜压榨葡萄果子的香味。","
											粉红色","
											中低","
											清爽","
											获得2013年旧金山国际葡萄酒大奖赛银奖","
											白肉","
											无",5192355
860,"
								西班牙神牛干白葡萄酒",Toro Sagrado Vino Blanco Seco,"
												90%
										",48,近期售出数 12769,36,"
											白葡萄酒 干白",  ,  ,"
											西班牙(Spain) 其他",  ,"
											11.0%","
											750ml","
											果香","
											浅金色","
											中","
											饱满","
											即开即饮","
											海鲜，奶酪",  ,6220456
861,"
								【中级庄】马丁城堡干红葡萄酒",Chateau Martin,"
												60%
										",3,近期售出数 1778,119,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,  ,"
											30分钟","
											烤肉，披萨",  ,6232086
862,"
								帕罗庄园干红葡萄酒",Le Ciel Pareau,"
												80%
										",4,近期售出数 48936,69,"
											红葡萄酒 干红","
											40%歌海娜(Grenache)、20%希拉(Syrah)、20%佳丽酿(Carignan)、10%慕和怀特(Mourvedre),可贝尔AOP,0.0","
											0000","
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											可贝尔AOP","
											12.5%","
											750ml","
											皮革、巧克力、咖啡、辛香料、粘土","
											宝石红色","
											中",  ,"
											10分钟","
											烤红肉、家禽、芝士","
											6个月",5180375
863,"
								蒙特斯经典赤霞珠【整箱6瓶装】",  ,"
												100%
										",27,近期售出数 9363,419,"
																红葡萄酒 干红","
																85%赤霞珠(Cabernet Sauvignon)、15%美乐(Merlot)","
																0000","
																智利(Chile) 中央山谷(Central Valley)","
																智利优质酒庄","
																13.5%","
																750ml","
																焦糖、肉桂、糖果和薄荷","
																深宝石红色","
																中高","
																平衡","
																30分钟","
																烤肉、野味、禽类、比萨和意大利面","
																6个月",5180607
864,"
								*奥纳干红葡萄酒*",Maitre Eugene,"
												90%
										",12,近期售出数 8793,32,"
											红葡萄酒 干红","
											40%美乐(Merlot),30%歌海娜(Grenache/Granacha)，30%佳丽酿(Carignan)","
											0000","
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											VDCE","
											12.0%","
											750ml","
											集合了小的红色水果的香气，并且有着香料的柔和气息。","
											闪亮美丽的红宝石","
											中高","
											平衡","
											15分钟",  ,  ,6214090
865,"
								【我爱红酒】皇族雄狮干红葡萄酒",DATO DEL VINO,"
												90%
										",65,近期售出数 14652,258,"
											红葡萄酒 干红","
											100%丹魄（Tempranillo)",  ,"
											西班牙(Spain) 其他","
											VDLT","
											11%vol","
											750ml","
											黑醋栗，樱桃，香草","
											宝石色，泛紫红色","
											中高","
											圆润","
											15-20分钟","
											奶酪、肉类","
											无",6230949
866,"
								奔富寇兰山西拉赤霞珠红葡萄酒-6支装",  ,"
												100%
										",5,近期售出数 8393,509,"
																红葡萄酒 干红","
																60%西拉/设拉子（Syrah/Shiraz）、40%赤霞珠(Cabernet Sauvignon)",  ,"
																澳大利亚(Australia) 南澳(South Australia)",  ,  ,"
																750ml",  ,  ,  ,"
																清雅",  ,  ,  ,6225568
867,"
								神牛干红葡萄酒",DATO DEL VINO,"
												90%
										",35,近期售出数 10269,39,"
											红葡萄酒 干红","
											100%丹魄（Tempranillo)",  ,"
											西班牙(Spain) 其他","
											VDLT","
											11%vol","
											750ml","
											黑醋栗，樱桃，香草","
											宝石色，泛紫红色","
											中高","
											圆润","
											15-20分钟","
											奶酪、肉类","
											无",6230947
868,"
								塔伦达山（巴罗萨谷）赤霞珠红葡萄酒",  ,"
												70%
										",10,近期售出数 402,218,"
											红葡萄酒 干红",  ,"
											0000","
											澳大利亚(Australia) 南澳(South Australia)",  ,  ,  ,  ,  ,  ,"
											清雅",  ,  ,  ,5198703
869,"
								教堂山莫塞晚收甜白葡萄酒",Monchhof Spaetlese Mosel Slate,"
												90%
										",552,近期售出数 7912,129,"
											白葡萄酒 甜白","
											100%雷司令(Riesling)","
											0000","
											德国(Germany) 莫塞(Mosel)","
											莫塞法定产区 Pradikatswein - Spatlese","
											8.5%","
											750ml","
											蜜桃、泥土、柑橘","
											淡黄色","
											中","
											平衡","
											WS评分：92； 由12世纪建立的古老酿酒厂生产","
											鱼、猪肉、辛辣食物","
											无",5151039
870,"
								奥兰国际象棋葡萄酒 （不同标签随机发货）",Torre Oria ,"
												100%
										",0,近期售出数 783,39,"
											红葡萄酒 干红","
											100%丹魄(Tempranillo)",  ,"
											西班牙(Spain) 瓦伦西亚(Valencia)","
											DO","
											12%vol","
											750毫升","
											黑梅、樱桃、红色水果","
											宝石红色","
											中","
											平衡","
											10分钟","
											红肉类食物",  ,6238538
